Title,Artist,Album,Year
Toes,Zac Brown Band,The Foundation,2008
Knee Deep,Zac Brown Band,You Get What You Give,2010
No Shoes No Shirt No Problems,Kenny Chesney,No Shoes No Shirt No Problems,2002
When the Sun Goes Down,Kenny Chesney,When the Sun Goes Down,2004
Summertime,Kenny Chesney,The Road and the Radio,2005
Beer in Mexico,Kenny Chesney,The Road and the Radio,2005
Pontoon,Little Big Town,Tornado,2012
Day Drinking,Little Big Town,Pain Killer,2014
Buy Me a Boat,Chris Janson,Buy Me a Boat,2015
Some Beach,Blake Shelton,Blake Shelton's Barn & Grill,2004
Chattahoochee,Alan Jackson,A Lot About Livin' (And a Little 'bout Love),1992
It's Five O'Clock Somewhere,Alan Jackson,Greatest Hits Volume II,2003
Water,Brad Paisley,American Saturday Night,2009
Drunk on a Plane,Dierks Bentley,Riser,2014
Red Solo Cup,Toby Keith,Clancy's Tavern,2011
Save a Horse (Ride a Cowboy),Big & Rich,Horse of a Different Color,2004
Cruise,Florida Georgia Line,Here's to the Good Times,2012
Chicken Fried,Zac Brown Band,The Foundation,2008
All Summer Long,Kid Rock,Rock n Roll Jesus,2007
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,1974
Free Bird,Lynyrd Skynyrd,(Pronounced 'Lĕh-'nérd 'Skin-'nérd),1973
Green River,Creedence Clearwater Revival,Green River,1969
Up Around the Bend,Creedence Clearwater Revival,Cosmo's Factory,1970
Listen to the Music,The Doobie Brothers,Toulouse Street,1972
China Grove,The Doobie Brothers,The Captain and Me,1973
Take It Easy,Eagles,Eagles,1972
Already Gone,Eagles,On the Border,1974
Rocky Mountain Way,Joe Walsh,The Smoker You Drink the Player You Get,1973
The Boys Are Back in Town,Thin Lizzy,Jailbreak,1976
Summer of '69,Bryan Adams,Reckless,1984
The Boys of Summer,Don Henley,Building the Perfect Beast,1984
Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,1972
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972
Ride Like the Wind,Christopher Cross,Christopher Cross,1979
What a Fool Believes,The Doobie Brothers,Minute by Minute,1978
Escape (The Piña Colada Song),Rupert Holmes,Partners in Crime,1979
Come Sail Away,Styx,The Grand Illusion,1977
Sailing,Christopher Cross,Christopher Cross,1979
Southern Cross,Crosby Stills & Nash,Daylight Again,1982
Into the Mystic,Van Morrison,Moondance,1970
Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,1967
Margaritaville,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,1977
Boat Drinks,Jimmy Buffett,Volcano,1979
Cheeseburger in Paradise,Jimmy Buffett,Son of a Son of a Sailor,1978
Volcano,Jimmy Buffett,Volcano,1979
One Particular Harbour,Jimmy Buffett,One Particular Harbour,1983
Island Song,Zac Brown Band,Jekyll + Hyde,2015
Somewhere on a Beach,Dierks Bentley,Black,2016
Sun Daze,Florida Georgia Line,Anything Goes,2014
Lake Shore Drive,Aliotta Haynes Jeremiah,Lake Shore Drive,1971
Magic Carpet Ride,Steppenwolf,The Second,1968
Runnin' Down a Dream,Tom Petty,Full Moon Fever,1989
You Wreck Me,Tom Petty,Wildflowers,1994
The Power of Love,Huey Lewis & The News,Back to the Future,1985
Panama,Van Halen,1984,1984
Pour Some Sugar on Me,Def Leppard,Hysteria,1987
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,1989
Nothin' but a Good Time,Poison,Open Up and Say... Ahh!,1988
Rock and Roll All Nite,KISS,Dressed to Kill,1975
We're Not Gonna Take It,Twisted Sister,Stay Hungry,1984
You Shook Me All Night Long,AC/DC,Back in Black,1980
Thunderstruck,AC/DC,The Razors Edge,1990
Sharp Dressed Man,ZZ Top,Eliminator,1983
Gimme All Your Lovin',ZZ Top,Eliminator,1983
The Stroke,Billy Squier,Don't Say No,1981
Working for the Weekend,Loverboy,Get Lucky,1981
Your Love,The Outfield,Play Deep,1985
Jessie's Girl,Rick Springfield,Working Class Dog,1981
Old Time Rock and Roll,Bob Seger & The Silver Bullet Band,Stranger in Town,1978
The Heart of Rock & Roll,Huey Lewis & The News,Sports,1983
Centerfold,The J. Geils Band,Freeze-Frame,1981
Walk This Way,Aerosmith,Toys in the Attic,1975
Hard to Handle,The Black Crowes,Shake Your Money Maker,1990
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,1993
Fly Away,Lenny Kravitz,5,1998
Santeria,Sublime,Sublime,1996
What I Got,Sublime,Sublime,1996
Steal My Sunshine,Len,You Can't Stop the Bum Rush,1999
Walking on Sunshine,Katrina and the Waves,Walking on Sunshine,1985
Good Vibrations,The Beach Boys,Smiley Smile,1967
Rockaway Beach,Ramones,Rocket to Russia,1977
Vacation,The Go-Go's,Vacation,1982
Holiday Road,Lindsey Buckingham,National Lampoon's Vacation,1983
