Title,Artist,Album,Year
At Last,Etta James,At Last!,1960
A Sunday Kind of Love,Etta James,At Last!,1960
I'd Rather Go Blind,Etta James,Tell Mama,1968
Something's Got a Hold on Me,Etta James,Etta James,1962
What a Wonderful World,Louis Armstrong,What a Wonderful World,1967
La Vie En Rose,Louis Armstrong,Satchmo Serenades,1950
"Hello, Dolly!",Louis Armstrong,"Hello, Dolly!",1964
Dream a Little Dream of Me,Ella Fitzgerald & Louis Armstrong,Ella and Louis Again,1957
Misty,Ella Fitzgerald,Misty Blue,1959
Cheek to Cheek,Ella Fitzgerald & Louis Armstrong,Ella and Louis,1956
L-O-V-E,Nat King Cole,L-O-V-E,1965
Unforgettable,Nat King Cole,Unforgettable,1951
Fly Me to the Moon,Frank Sinatra,It Might as Well Be Swing,1964
The Way You Look Tonight,Frank Sinatra,Days of Wine and Roses,1964
Can't Take My Eyes Off You,Frankie Valli,The 4 Seasons Present Frankie Valli Solo,1967
Unchained Melody,The Righteous Brothers,Just Once in My Life,1965
Be My Baby,The Ronettes,Presenting the Fabulous Ronettes,1963
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,1961
Stand By Me,Ben E. King,Don't Play That Song!,1961
Twist and Shout,The Isley Brothers,Twist and Shout,1962
My Girl,The Temptations,The Temptations Sing Smokey,1965
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,United,1967
Dancing in the Street,Martha Reeves & The Vandellas,Dance Party,1964
You Can't Hurry Love,The Supremes,The Supremes A' Go-Go,1966
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,1967
Think,Aretha Franklin,Aretha Now,1968
You Send Me,Sam Cooke,Sam Cooke,1957
Bring It On Home to Me,Sam Cooke,The Best of Sam Cooke,1962
(Sittin' On) The Dock of the Bay,Otis Redding,The Dock of the Bay,1968
Let's Stay Together,Al Green,Let's Stay Together,1972
Lean on Me,Bill Withers,Still Bill,1972
Lovely Day,Bill Withers,Menagerie,1977
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,"Signed, Sealed & Delivered",1970
Superstition,Stevie Wonder,Talking Book,1972
Isn't She Lovely,Stevie Wonder,Songs in the Key of Life,1976
September,"Earth, Wind & Fire","The Best of Earth, Wind & Fire, Vol. 1",1978
Let's Groove,"Earth, Wind & Fire",Raise!,1981
Boogie Wonderland,"Earth, Wind & Fire",I Am,1979
Got to Be Real,Cheryl Lynn,Cheryl Lynn,1978
Last Dance,Donna Summer,Thank God It's Friday,1978
Hot Stuff,Donna Summer,Bad Girls,1979
I Will Survive,Gloria Gaynor,Love Tracks,1978
Dancing Queen,ABBA,Arrival,1976
Mamma Mia,ABBA,ABBA,1975
