Title,Artist,Album,Year
On the Road Again,Willie Nelson,Honeysuckle Rose,1980
Always on My Mind,Willie Nelson,Always on My Mind,1982
Blue Eyes Crying in the Rain,Willie Nelson,Red Headed Stranger,1975
Whiskey River,Willie Nelson,Shotgun Willie,1973
Mammas Don't Let Your Babies Grow Up to Be Cowboys,Waylon Jennings & Willie Nelson,Waylon & Willie,1978
Good Hearted Woman,Waylon Jennings & Willie Nelson,Waylon & Willie,1976
Pancho and Lefty,Willie Nelson & Merle Haggard,Pancho & Lefty,1983
To All the Girls I've Loved Before,Willie Nelson & Julio Iglesias,Half Nelson,1984
Angel Flying Too Close to the Ground,Willie Nelson,Honeysuckle Rose,1980
My Heroes Have Always Been Cowboys,Willie Nelson,The Electric Horseman,1980
City of New Orleans,Willie Nelson,City of New Orleans,1984
Seven Spanish Angels,Ray Charles & Willie Nelson,Friendship,1984
Georgia on My Mind,Willie Nelson,Stardust,1978
Help Me Make It Through the Night,Willie Nelson,Country Willie,1975
Luckenbach Texas,Waylon Jennings,Ol' Waylon,1977
Are You Sure Hank Done It This Way,Waylon Jennings,Dreaming My Dreams,1975
I've Always Been Crazy,Waylon Jennings,I've Always Been Crazy,1978
Amanda,Waylon Jennings,The Ramblin' Man,1974
Theme from The Dukes of Hazzard,Waylon Jennings,Music Man,1980
Lonesome On'ry and Mean,Waylon Jennings,Lonesome On'ry and Mean,1973
I'm a Ramblin' Man,Waylon Jennings,The Ramblin' Man,1974
Only Daddy That'll Walk the Line,Waylon Jennings,Only the Greatest,1968
Honky Tonk Heroes,Waylon Jennings,Honky Tonk Heroes,1973
Ain't Living Long Like This,Waylon Jennings,What Goes Around Comes Around,1979
The Wurlitzer Prize,Waylon Jennings,Ol' Waylon,1977
Highwayman,The Highwaymen,Highwayman,1985
Big River,The Highwaymen,Highwayman,1985
Desperados Waiting for a Train,The Highwaymen,Highwayman,1985
Silver Stallion,The Highwaymen,Highwayman 2,1990
The Road Goes on Forever,The Highwaymen,The Road Goes on Forever,1995
Ring of Fire,Johnny Cash,Ring of Fire,1963
Folsom Prison Blues,Johnny Cash,At Folsom Prison,1968
I Walk the Line,Johnny Cash,With His Hot and Blue Guitar,1957
A Boy Named Sue,Johnny Cash,At San Quentin,1969
Sunday Morning Coming Down,Johnny Cash,The Johnny Cash Show,1970
Man in Black,Johnny Cash,Man in Black,1971
One Piece at a Time,Johnny Cash,One Piece at a Time,1976
Get Rhythm,Johnny Cash,With His Hot and Blue Guitar,1957
Jackson,Johnny Cash & June Carter Cash,Carryin' On with Johnny Cash and June Carter,1967
The Gambler,Kenny Rogers,The Gambler,1978
Lucille,Kenny Rogers,Kenny Rogers,1977
Coward of the County,Kenny Rogers,Kenny,1979
Islands in the Stream,Kenny Rogers & Dolly Parton,Eyes That See in the Dark,1983
Lady,Kenny Rogers,Greatest Hits,1980
Love Will Turn You Around,Kenny Rogers,Love Will Turn You Around,1982
9 to 5,Dolly Parton,9 to 5 and Odd Jobs,1980
Jolene,Dolly Parton,Jolene,1974
Coat of Many Colors,Dolly Parton,Coat of Many Colors,1971
Here You Come Again,Dolly Parton,Here You Come Again,1977
Why'd You Come in Here Lookin' Like That,Dolly Parton,White Limozeen,1989
I Will Always Love You,Dolly Parton,Jolene,1974
Friends in Low Places,Garth Brooks,No Fences,1990
The Dance,Garth Brooks,Garth Brooks,1989
If Tomorrow Never Comes,Garth Brooks,Garth Brooks,1989
The Thunder Rolls,Garth Brooks,No Fences,1990
Unanswered Prayers,Garth Brooks,No Fences,1990
Papa Loved Mama,Garth Brooks,Ropin' the Wind,1991
Rodeo,Garth Brooks,Ropin' the Wind,1991
Shameless,Garth Brooks,Ropin' the Wind,1991
Two of a Kind Workin' on a Full House,Garth Brooks,No Fences,1990
Ain't Goin' Down Til the Sun Comes Up,Garth Brooks,In Pieces,1993
Standing Outside the Fire,Garth Brooks,In Pieces,1993
Callin' Baton Rouge,Garth Brooks,In Pieces,1993
Much Too Young To Feel This Damn Old,Garth Brooks,Garth Brooks,1989
Neon Moon,Brooks & Dunn,Brand New Man,1991
Boot Scootin' Boogie,Brooks & Dunn,Brand New Man,1991
Brand New Man,Brooks & Dunn,Brand New Man,1991
My Next Broken Heart,Brooks & Dunn,Brand New Man,1991
Hard Workin' Man,Brooks & Dunn,Hard Workin' Man,1993
Rock My World,Brooks & Dunn,Hard Workin' Man,1993
She Used to Be Mine,Brooks & Dunn,Hard Workin' Man,1993
That Ain't No Way to Go,Brooks & Dunn,Hard Workin' Man,1993
You're Gonna Miss Me When I'm Gone,Brooks & Dunn,Waitin' on Sundown,1994
Little Miss Honky Tonk,Brooks & Dunn,Waitin' on Sundown,1994
My Maria,Brooks & Dunn,Borderline,1996
A Man This Lonely,Brooks & Dunn,Borderline,1996
Honky Tonk Truth,Brooks & Dunn,The Greatest Hits Collection,1997
Husbands and Wives,Brooks & Dunn,If You See Her,1998
Red Dirt Road,Brooks & Dunn,Red Dirt Road,2003
Only in America,Brooks & Dunn,Steers & Stripes,2001
Ain't Nothing 'Bout You,Brooks & Dunn,Steers & Stripes,2001
Believe,Brooks & Dunn,Hillbilly Deluxe,2005
Forever and Ever Amen,Randy Travis,Always & Forever,1987
Deeper Than the Holler,Randy Travis,Old 8x10,1988
On the Other Hand,Randy Travis,Storms of Life,1986
Diggin' Up Bones,Randy Travis,Storms of Life,1986
I Told You So,Randy Travis,Always & Forever,1987
1982,Randy Travis,Storms of Life,1986
Too Gone Too Long,Randy Travis,Always & Forever,1987
Hard Rock Bottom of Your Heart,Randy Travis,No Holdin' Back,1989
He Walked on Water,Randy Travis,No Holdin' Back,1990
Look Heart No Hands,Randy Travis,Greatest Hits Volume Two,1992
Better Class of Losers,Randy Travis,High Lonesome,1991
Three Wooden Crosses,Randy Travis,Rise and Shine,2002
Prayin' for Daylight,Rascal Flatts,Rascal Flatts,2000
This Everyday Love,Rascal Flatts,Rascal Flatts,2000
I'm Movin' On,Rascal Flatts,Rascal Flatts,2000
These Days,Rascal Flatts,Melt,2002
Mayberry,Rascal Flatts,Melt,2002
I Melt,Rascal Flatts,Melt,2002
Bless the Broken Road,Rascal Flatts,Feels Like Today,2004
Fast Cars and Freedom,Rascal Flatts,Feels Like Today,2004
Skin,Rascal Flatts,Feels Like Today,2004
What Hurts the Most,Rascal Flatts,Me and My Gang,2006
